signal_id,campaign_phase,is_anomalous,exit_code,duration,median_rms,sample_rate,rms,mean,std_dev,crest_factor,peak_to_peak,entropy,peak_count,kurtosis,skewness,zcr,energy_low,energy_mid,energy_high,peak_freq,peak_magnitude,spectral_entropy,spectral_crest,harmonic_distortion,spectral_flatness,spectral_rolloff,hnr,harmonic_1_freq,harmonic_1_mag,harmonic_2_freq,harmonic_2_mag,harmonic_3_freq,harmonic_3_mag,harmonic_4_freq,harmonic_4_mag
100,calib,False,0,0.2362656593322754,,10000000000,0.004716907842735481,0.0001475848010721557,0.004714598426520753,4.505913803835133,0.0423419136,-6827.27408052469,28193,1.4896609474086482,-0.2279002130182914,414258342.96662813,2729229.071648547,46781.40765239737,7812.654361683537,38119847.520609915,51.765066431490105,2.724035981218264,2193.2170679343576,0.7352633306645713,0.3415991834709752,862616549.5338019,-37.534548995552946,76239695.04121983,28.432887894868202,114359542.56182975,22.092191327941315,152479390.08243966,2.929722073292353,190599237.60304958,11.981611088877584
10,calib,False,0,0.23368477821350098,,10000000000,0.004911398741118004,0.00026927602735253055,0.004904011420801214,4.327480068368846,0.0423419136,-6747.678910027419,28233,1.3297913309876384,-0.23115323700254353,395258418.96632415,2970063.860801782,46388.43643414647,7793.367138939028,39719841.12063552,52.978470426496656,2.5844522256200846,1117.582935843007,0.9231150658388402,0.33781782243795966,852996588.0136479,-35.635412643597874,79439682.24127103,33.316291115009946,119159523.36190656,24.83054179688991,158879364.48254207,20.828731800500716,198599205.60317758,15.210319772869731
11,calib,False,0,0.23602962493896484,,10000000000,0.00471410852071356,0.00017973994149511402,0.004710680704366995,4.508589496107496,0.0423419136,-6851.789409567072,28970,1.7644924628060563,-0.27725878017749106,444398222.4071104,2721333.942159898,52624.56797647297,7882.293974671608,42659829.360682555,51.46086155918476,2.5217383929200468,1508.5659510902483,0.6884072918255847,0.3437493802387366,864056543.7738249,-38.13625127930812,85319658.72136511,30.395390534039272,127979488.08204767,12.973179935966908,170639317.44273022,10.169384673013187,213299146.8034128,7.707413277356916
12,calib,False,0,0.23459219932556152,,10000000000,0.0046430736104859545,0.0001715027949171803,0.004639905100724224,4.577566918603195,0.0423419136,-6878.654370556924,28956,1.7082650540900683,-0.2817705778287074,449038203.8471846,2639538.256611209,51151.259310871515,7704.946448561934,39119843.52062592,50.41617755334308,2.3459520090325547,683.4808261316984,0.7691607651327493,0.3450799773796543,864036543.8538246,-37.25673586591182,78239687.04125184,20.640289662581196,117359530.56187776,21.31840549572157,156479374.08250368,15.30511584339626,195599217.6031296,19.72313471206674
13,calib,False,0,0.23511099815368652,,10000000000,0.004750328096402378,0.00017079944328326688,0.004747256531265608,4.474213091953907,0.0423419136,-6805.579318712202,28234,1.4553877884934314,-0.24814884811679713,404978380.08647966,2769804.9641443365,46598.214961418074,7889.319896938609,38079847.68060928,51.5096296145121,2.461380595840958,617.4774329548117,0.7350210624397026,0.34263839979463484,861196555.2137791,-37.621946422843536,76159695.36121856,22.445967412196527,114239543.04182783,24.9433184217471,152319390.7224371,16.25975463770277,190399238.4030464,6.56197920761443
14,calib,False,0,0.23391485214233398,,10000000000,0.004766722041558708,0.00018574168526321893,0.004763101830513095,4.458825157980052,0.0423419136,-6821.245340989067,28581,1.5712047700478156,-0.2750293965864313,418698325.2066992,2788637.2557376977,48054.75435625704,7777.449845267784,40419838.32064672,50.94650100674559,2.8156927188154124,1384.7026291009975,0.8584505543204078,0.3419687367684646,861596553.6137855,-36.392967613345554,80839676.64129344,30.761137441846014,121259514.96194015,26.033784851289976,161679353.28258687,8.977895502747389,202099191.60323358,14.4272879642254
15,calib,False,0,0.23429441452026367,,10000000000,0.004934899013238927,0.00020510278639205445,0.0049306349609234655,4.306872360099291,0.0423419136,-6728.871498993171,28493,1.3481200959796587,-0.252829459275261,387578449.6862013,2994320.7838098668,47106.17777770488,7938.835656751279,42159831.36067456,52.013189385566314,2.714682565599692,705.095487189531,0.6753073387481303,0.3361124328060145,853416586.3336546,-38.55712972554081,84319662.72134912,21.416626414928466,126479494.08202367,21.577013994796147,168639325.44269824,6.050501526385842,210799156.80337277,16.519981953779048
16,calib,False,0,0.23308682441711426,,10000000000,0.004726209677639741,0.0002667152092986429,0.004718677877768762,4.49704554170652,0.0423419136,-6825.755934157467,28330,1.559402568412656,-0.23559642767093347,408778364.8865405,2745800.5281702196,47316.63012232265,7857.566470823037,40279838.88064448,50.219335371531415,2.6252440193307147,569.1051008179182,0.6610783682046578,0.34302584355090965,860996556.013776,-38.736350869621575,80559677.76128896,19.59404363233145,120839516.64193343,22.441945775572584,161119355.5225779,-1.3732434752985234,201399194.40322238,14.584744373725497
17,calib,False,0,0.23448491096496582,,10000000000,0.004982664991430342,0.00023206527358750562,0.004977257892215381,4.2655848218884085,0.0423419136,-6719.298039435445,28654,1.3040171398806155,-0.23694226829629203,393918424.3263027,3053754.5111055737,48408.103235798066,7891.8510914067865,39879840.48063808,52.217218833188284,2.6550180960577587,617.773007741608,0.780992912362256,0.33617486735276986,851476594.0936236,-37.31558907577936,79759680.96127616,29.86973136958877,119639521.44191423,20.135171548839214,159519361.92255232,17.868008389744897,199399202.40319037,6.798596235256891
18,calib,False,0,0.2334582805633545,,10000000000,0.004758557270626126,0.00019744006965804144,0.004754459455786977,4.466475646137054,0.0423419136,-6811.678649323945,27845,1.4179937203511326,-0.24785997807796442,409478362.08655167,2782708.4837159486,44732.573547271284,7864.0074712187,40579837.68064928,51.656780693917014,2.735397388216307,-2287.3763598705486,0.7915927886729774,0.34217145067873844,864036543.8538246,-36.94938603656607,81159675.36129856,26.78865814005057,121739513.04194783,23.521624664737203,162319350.72259712,16.175204374518973,202899188.40324637,11.813071574970373
